timestamp,cpu_usage,memory_usage,net_io,disk_io,Name,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,latency_ms,throughput,cost,utilization
1/1/2024 0:00,42.61322972,93.16221075,369.8801042,622.7614965,ml-worker-022,Azure,us-east,t2.micro,1,1,0.0116,222.2985276,1346.338232,0.0169634,67.89259478
1/1/2024 0:05,16.60287578,95.88896608,349.390787,803.7296273,db-instance-024,Azure,us-west,t2.micro,1,1,0.0116,265.6787167,1154.493994,0.018968486,56.24047021
1/1/2024 0:10,27.58307206,27.74003188,195.5823975,598.8330986,web-server-013,AWS,us-east,B1s,1,1,0.012,268.2129374,523.8167695,0.018835178,27.66678396
1/1/2024 0:15,66.35394151,22.99494976,185.050711,438.2093021,batch-processor-006,AWS,asia-south,B1s,1,1,0.012,276.1943301,881.9761419,0.018355171,44.67444564
1/1/2024 0:20,26.04576827,52.40814582,294.8097883,132.0540007,cache-server-005,Azure,us-east,B1s,1,1,0.012,229.4206625,802.0271469,0.016761667,39.22230103
1/1/2024 0:25,14.75950263,88.83637545,451.193805,770.622965,api-gateway-024,GCP,us-east,t2.micro,1,1,0.0116,221.9698828,1022.381901,0.016202861,51.79328304
1/1/2024 0:30,65.25352499,45.2253056,95.64682652,497.4327808,api-gateway-013,AWS,us-east,t2.micro,1,1,0.0116,225.743649,1049.143221,0.015862131,55.23485721
1/1/2024 0:35,40.83660047,60.97049337,317.6990925,285.877668,app-node-004,Azure,asia-south,t2.micro,1,1,0.0116,278.9874978,1027.268564,0.018674293,50.90354692
1/1/2024 0:40,18.32320512,28.19896378,71.77268822,400.7435953,batch-processor-004,Azure,us-east,B1s,1,1,0.012,267.716718,428.5038632,0.018364014,23.26108445
1/1/2024 0:45,88.11017187,43.86238725,183.7616328,612.9172294,db-instance-019,Azure,asia-south,B1s,1,1,0.012,249.8729061,1299.674512,0.018749061,65.98627956
1/1/2024 0:50,15.10779338,89.34483195,359.3955085,252.1039561,micro-service-007,GCP,us-east,n1-standard-1,1,3.75,0.0475,228.3256816,1086.621936,0.123502368,52.23083325
1/1/2024 0:55,86.87310827,18.22573963,231.1693302,223.4786369,batch-processor-006,Azure,us-west,t2.micro,1,1,0.0116,279.2717174,1104.35292,0.019035286,52.54395404
1/1/2024 1:00,42.42491365,16.76519966,202.568831,418.7673855,backup-server-015,AWS,asia-south,n1-standard-1,1,3.75,0.0475,299.0220535,664.2197202,0.145682333,29.59505666
1/1/2024 1:05,84.68073382,49.47956066,97.84700929,699.2357266,analytics-engine-008,GCP,us-west,t2.micro,1,1,0.0116,219.0672206,1414.07872,0.01639894,67.0754349
1/1/2024 1:10,74.33801683,50.97571024,267.0793871,453.9403852,db-instance-011,AWS,us-west,t2.micro,1,1,0.0116,219.0719539,1239.138614,0.016292751,62.65218171
1/1/2024 1:15,35.86551174,52.2386939,429.3745255,303.8218174,analytics-engine-031,AWS,us-west,t2.micro,1,1,0.0116,250.7963115,856.7726542,0.016298248,44.05210282
1/1/2024 1:20,29.39235404,16.26716423,173.3274516,235.5039547,compute-node-013,GCP,us-west,B1s,1,1,0.012,274.2165387,472.3915313,0.017295272,22.82975914
1/1/2024 1:25,82.7376394,26.92264496,453.8862485,588.3085325,web-server-017,GCP,us-east,B1s,1,1,0.012,239.6004857,1080.141742,0.018089123,54.83014218
1/1/2024 1:30,30.0947285,47.78068334,412.4191063,862.755006,web-server-016,GCP,asia-south,t2.micro,1,1,0.0116,257.0332466,767.1837754,0.017163169,38.94263787
1/1/2024 1:35,45.58375404,28.73779238,99.60007137,386.9875777,db-instance-014,GCP,us-east,B1s,1,1,0.012,248.7701994,762.57203,0.017248425,37.16077321
1/1/2024 1:40,57.95818812,74.90909232,218.4090268,996.4023662,api-gateway-010,GCP,asia-south,B1s,1,1,0.012,220.6582421,1327.313052,0.01840267,66.43364022
1/1/2024 1:45,33.07031224,12.35961164,300.9175718,512.5805607,api-gateway-018,GCP,asia-south,t2.micro,1,1,0.0116,253.8731041,468.2919523,0.016145439,22.71496194
1/1/2024 1:50,22.08220254,51.80308365,473.023014,304.6366353,storage-vm-021,Azure,us-east,t2.micro,1,1,0.0116,261.5360863,774.8897897,0.016676663,36.94743524
1/1/2024 1:55,30.55101965,73.52099473,209.7401954,651.1970764,ml-worker-003,Azure,us-east,n1-standard-1,1,3.75,0.0475,245.6539458,1147.312934,0.132949006,52.04087355
1/1/2024 2:00,17.97070976,84.43160825,192.6424403,265.5164933,web-server-014,AWS,us-east,t2.micro,1,1,0.0116,247.149298,999.0743238,0.017247124,51.20611508
1/1/2024 2:05,75.02835795,12.14533436,296.4349493,321.1801432,analytics-engine-016,GCP,us-west,n1-standard-1,1,3.75,0.0475,262.2927126,896.7675164,0.144391007,43.58156098
1/1/2024 2:10,67.84449072,42.11847644,443.2074357,210.3292004,app-node-034,Azure,us-west,t2.micro,1,1,0.0116,219.6345545,1084.496722,0.016354865,54.98618325
1/1/2024 2:15,93.48538687,89.21325913,166.5427826,695.9657116,micro-service-027,GCP,us-west,t2.micro,1,1,0.0116,211.7812057,1892.532533,0.017449536,91.349323
1/1/2024 2:20,58.73590964,32.35720217,93.59857978,924.2630594,ml-worker-027,Azure,us-west,B1s,1,1,0.012,262.6463738,950.7436152,0.018332692,45.5465559
1/1/2024 2:25,36.83534124,37.67188812,342.5113883,825.0898209,micro-service-020,Azure,asia-south,t2.micro,1,1,0.0116,237.8066353,760.8211979,0.015821647,37.25361468
1/1/2024 2:30,69.23787801,17.94791261,125.3697959,928.2452014,analytics-engine-008,Azure,asia-south,t2.micro,1,1,0.0116,265.8579246,835.3696058,0.017774256,43.58778777
1/1/2024 2:35,9.770736467,22.85754506,277.3637456,675.0868979,compute-node-011,Azure,asia-south,t2.micro,1,1,0.0116,252.7874477,356.9494767,0.016253424,16.30947024
1/1/2024 2:40,67.65406461,28.62287349,179.3426169,704.6978843,api-gateway-011,AWS,us-west,n1-standard-1,1,3.75,0.0475,234.561481,981.6139139,0.12471721,48.133904
1/1/2024 2:45,75.40167806,66.63987012,100.4229605,469.6285467,compute-node-026,GCP,asia-south,B1s,1,1,0.012,246.2133419,1375.963474,0.019615988,71.02077409
1/1/2024 2:50,100,49.60607633,493.4591225,730.2303021,analytics-engine-030,Azure,us-east,B1s,1,1,0.012,249.9542841,1642.072625,0.019676275,78.12574428
1/1/2024 2:55,65.73919276,57.68104558,146.3631317,796.4825549,cache-server-007,GCP,us-east,t2.micro,1,1,0.0116,245.428443,1259.810092,0.018473223,61.70481077
1/1/2024 3:00,90.94172942,92.10444596,443.6484262,416.2140816,stream-handler-007,AWS,us-west,n1-standard-1,1,3.75,0.0475,201.3037077,1826.963995,0.131262048,91.5278923
1/1/2024 3:05,88.94656472,79.78800187,167.8150322,410.6548779,backup-server-004,GCP,us-east,t2.micro,1,1,0.0116,187.3827247,1726.72013,0.015999899,84.36728329
1/1/2024 3:10,26.18037678,62.32484944,488.6346997,753.1964795,web-server-004,Azure,asia-south,n1-standard-1,1,3.75,0.0475,257.6356445,893.0256127,0.141633246,44.25261311
1/1/2024 3:15,64.56779309,97.91382243,111.6869676,559.7192775,batch-processor-015,AWS,asia-south,n1-standard-1,1,3.75,0.0475,218.7005509,1652.52053,0.134964966,81.23586761
1/1/2024 3:20,67.23216816,67.68512791,195.7618074,336.6969973,stream-handler-005,GCP,asia-south,n1-standard-1,1,3.75,0.0475,214.6289675,1372.920993,0.126274085,67.454026
1/1/2024 3:25,87.95507503,92.10107187,279.8298105,550.8281482,app-node-014,AWS,us-west,t2.micro,1,1,0.0116,215.382038,1857.286698,0.017383216,90.03306863
1/1/2024 3:30,66.3653104,74.01935822,408.5484058,366.559968,micro-service-018,AWS,asia-south,B1s,1,1,0.012,194.8608123,1393.109254,0.016323799,70.19233431
1/1/2024 3:35,67.12966619,14.31306178,280.7653661,636.5471876,compute-node-013,Azure,us-west,B1s,1,1,0.012,291.2594477,727.1857603,0.019473553,40.72136399
1/1/2024 3:40,12.13488895,12.71546011,399.899317,403.706341,load-balancer-005,Azure,us-west,B1s,1,1,0.012,273.715507,197.21336,0.017131608,12.42041575
1/1/2024 3:45,81.87760343,30.37628112,341.0362221,182.557113,cache-server-007,GCP,us-west,t2.micro,1,1,0.0116,254.0993468,1088.89985,0.017965578,56.12694228
1/1/2024 3:50,56.45099434,64.83299504,362.5528062,941.4305189,app-node-012,AWS,asia-south,n1-standard-1,1,3.75,0.0475,208.5684283,1221.808923,0.131455947,60.6468064
